City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,fort wellington,6.4,-57.6,77.47,88,5,6.71,GY,1689920029
290,mizan teferi,6.9833,35.5833,70.21,66,97,0.58,ET,1689920029
291,berdigestyakh,62.0989,126.6992,75.06,45,99,8.68,RU,1689919825
292,saint-denis,48.9167,2.3333,61.29,79,0,5.75,FR,1689920030
293,kruisfontein,-34.0033,24.7314,42.53,71,0,5.93,ZA,1689919911
294,touros,-5.1989,-35.4608,73.08,82,5,12.35,BR,1689920031
295,chonchi,-42.6128,-73.8092,51.12,85,83,8.37,CL,1689919788
296,thompson,55.7435,-97.8558,57.36,82,20,0.0,CA,1689919993
297,toropets,56.4978,31.6353,59.59,63,70,5.5,RU,1689920032
298,minas de marcona,-15.2119,-75.1103,55.67,83,27,5.64,PE,1689919885
299,fort mcmurray,56.7268,-111.381,63.91,77,40,4.61,CA,1689920033
300,rongelap,11.1635,166.8941,83.39,79,88,18.16,MH,1689920033
301,gujar khan,33.2558,73.3026,88.03,64,95,4.29,PK,1689920033
302,el granada,37.5027,-122.4694,66.94,84,100,17.27,US,1689920034
303,hamilton,39.1834,-84.5333,73.09,88,100,1.01,US,1689919952
304,westport,41.1415,-73.3579,74.08,91,0,3.44,US,1689919802
305,motueka,-41.1333,173.0167,44.49,67,68,8.32,NZ,1689920035
306,beyneu,45.3167,55.2,87.53,34,0,4.03,KZ,1689920036
307,novaya igirma,57.1334,103.9112,83.19,28,2,5.93,RU,1689920036
308,verkhotur'ye,58.8627,60.8054,71.28,52,11,9.89,RU,1689920037
309,hithadhoo,-0.6,73.0833,83.73,73,81,14.36,MV,1689919823
310,northam,51.0333,-4.2167,58.66,88,62,8.63,GB,1689920037
311,okhotsk,59.3833,143.3,59.02,80,48,11.97,RU,1689920038
312,sawakin,19.1059,37.3321,98.55,32,99,5.32,SD,1689919821
313,mo i rana,66.3128,14.1428,56.32,87,75,2.3,NO,1689920039
314,mil'kovo,55.6078,37.7956,64.6,62,93,6.58,RU,1689920039
315,usogorsk,63.4106,48.6872,60.89,93,73,6.08,RU,1689920040
316,kristiansund,63.1115,7.732,57.85,72,0,3.44,NO,1689920040
317,newman,37.3138,-121.0208,80.58,55,0,1.99,US,1689920041
318,krasnokamensk,50.0979,118.0369,78.75,37,97,6.89,RU,1689920041
319,trinidad,-14.8333,-64.9,67.78,67,0,2.44,BO,1689919975
320,dryden,49.7833,-92.7503,61.09,88,75,3.44,CA,1689919943
321,lidkoping,58.5052,13.1577,59.02,84,70,13.29,SE,1689920042
322,quellon,-43.1167,-73.6167,50.25,93,75,6.91,CL,1689920043
323,manakara,-22.1333,48.0167,69.53,88,51,8.14,MG,1689920044
324,kuqa,41.7278,82.9364,98.08,14,100,8.5,CN,1689920044
325,alpena,45.0617,-83.4327,64.72,97,100,5.75,US,1689920045
326,canico,32.6333,-16.85,72.23,81,20,9.22,PT,1689920045
327,callao,-12.0667,-77.15,70.09,73,100,8.05,PE,1689920046
328,edson,53.5835,-116.4356,60.94,77,40,0.0,CA,1689920046
329,damara,4.9608,18.7035,73.36,93,100,2.3,CF,1689920046
330,ixmiquilpan,20.4833,-99.2333,61.29,96,14,3.24,MX,1689920047
331,lubao,14.9167,120.55,92.91,64,84,4.61,PH,1689920048
332,douentza,14.9951,-2.9517,87.6,51,87,8.68,ML,1689920048
333,georgetown,5.4112,100.3354,88.23,98,20,9.22,MY,1689919789
334,pacific grove,36.6177,-121.9166,58.24,92,0,5.99,US,1689920049
335,flying fish cove,-10.4217,105.6791,80.28,69,75,16.11,CX,1689920050
336,chambas,22.1928,-78.9136,77.61,95,100,3.91,CU,1689920050
337,nova vicosa,-17.8919,-39.3719,71.58,82,97,16.46,BR,1689920051
338,ponta delgada,37.7333,-25.6667,70.52,88,40,1.14,PT,1689919866
339,wilmington,34.2257,-77.9447,80.85,82,0,10.36,US,1689919929
340,brokopondo,4.75,-55.1667,76.28,88,56,4.47,SR,1689920053
341,roma,43.2128,-75.4557,69.96,83,100,4.61,US,1689920054
342,petropavlovsk-kamchatsky,53.0452,158.6483,63.19,82,75,2.24,RU,1689920054
343,palikir - national government center,6.9248,158.1611,81.66,81,99,17.2,FM,1689920055
344,kone,-21.0595,164.8658,69.13,62,1,7.85,NC,1689920055
345,almazan,41.4865,-2.5309,57.51,78,0,3.0,ES,1689920056
346,formosa do rio preto,-11.0483,-45.1931,61.68,60,3,5.03,BR,1689920056
347,palmer,42.1584,-72.3287,69.17,81,0,0.0,US,1689920057
348,nizhniy kuranakh,58.8353,125.4869,63.28,83,99,8.34,RU,1689920057
349,saint-pierre,-21.3393,55.4781,77.58,88,75,10.36,RE,1689920058
350,celestun,20.8667,-90.4,79.43,83,37,9.98,MX,1689920058
351,bowen,-20.0167,148.2333,73.04,65,82,11.65,AU,1689920058
352,baykal'sk,51.5058,104.1469,56.66,84,18,3.33,RU,1689920059
353,amungan,15.3652,119.9582,85.1,75,93,4.85,PH,1689920060
354,kayenta,36.7278,-110.2546,76.53,34,25,1.88,US,1689919835
355,mount pearl,47.5166,-52.7813,66.54,94,100,19.57,CA,1689920061
356,dakhla,23.6848,-15.958,68.7,86,65,24.87,EH,1689920061
357,zheleznogorsk-ilimskiy,56.5768,104.1217,80.8,28,1,6.55,RU,1689920062
358,jiazi,22.8779,116.067,87.24,72,92,7.67,CN,1689920063
359,puerto baquerizo moreno,-0.9,-89.6,76.6,85,18,11.3,EC,1689920063
360,ventspils,57.3894,21.5606,64.33,88,75,11.5,LV,1689920064
